Source,"CARB Fleet Web Database"
"Region type",MPO
Region,MTC
"Calendar Year",2020
"Vehicle Category","P, Passenger Cars"
"GVWR Class output",Yes
"Fuel Type",Aggregate
"Fuel Technology",BEV,ICE,PHEV
"Electric Mile Range",Aggregate
"Model Year",1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Number of Vehicles Registered at the Same Address",Aggregate
"Vehicle Population Output Aggregation",Aggregate

"Vehicle Category","GVWR Class","Model Year","Fuel Technology",MPO,"Vehicle Population"
P,"Not Applicable",Unknown,BEV,MTC,6
P,"Not Applicable",Unknown,ICE,MTC,891
P,"Not Applicable",1975,BEV,MTC,8
P,"Not Applicable",1975,ICE,MTC,76187
P,"Not Applicable",1976,BEV,MTC,1
P,"Not Applicable",1976,ICE,MTC,1253
P,"Not Applicable",1977,ICE,MTC,1223
P,"Not Applicable",1978,ICE,MTC,1356
P,"Not Applicable",1979,ICE,MTC,1577
P,"Not Applicable",1980,BEV,MTC,3
P,"Not Applicable",1980,ICE,MTC,1044
P,"Not Applicable",1981,ICE,MTC,1185
P,"Not Applicable",1982,ICE,MTC,1266
P,"Not Applicable",1983,ICE,MTC,1714
P,"Not Applicable",1984,ICE,MTC,2170
P,"Not Applicable",1985,ICE,MTC,2817
P,"Not Applicable",1986,ICE,MTC,3020
P,"Not Applicable",1987,ICE,MTC,3874
P,"Not Applicable",1988,ICE,MTC,3630
P,"Not Applicable",1989,BEV,MTC,1
P,"Not Applicable",1989,ICE,MTC,4425
P,"Not Applicable",1990,ICE,MTC,5979
P,"Not Applicable",1991,ICE,MTC,7822
P,"Not Applicable",1992,ICE,MTC,6908
P,"Not Applicable",1993,ICE,MTC,8316
P,"Not Applicable",1994,ICE,MTC,10220
P,"Not Applicable",1995,BEV,MTC,1
P,"Not Applicable",1995,ICE,MTC,15583
P,"Not Applicable",1996,ICE,MTC,16680
P,"Not Applicable",1997,BEV,MTC,1
P,"Not Applicable",1997,ICE,MTC,25408
P,"Not Applicable",1998,BEV,MTC,2
P,"Not Applicable",1998,ICE,MTC,32980
P,"Not Applicable",1999,BEV,MTC,1
P,"Not Applicable",1999,ICE,MTC,40338
P,"Not Applicable",2000,BEV,MTC,1
P,"Not Applicable",2000,ICE,MTC,53984
P,"Not Applicable",2001,BEV,MTC,1
P,"Not Applicable",2001,ICE,MTC,62335
P,"Not Applicable",2002,BEV,MTC,7
P,"Not Applicable",2002,ICE,MTC,64427
P,"Not Applicable",2003,ICE,MTC,74781
P,"Not Applicable",2004,BEV,MTC,2
P,"Not Applicable",2004,ICE,MTC,77389
P,"Not Applicable",2005,BEV,MTC,2
P,"Not Applicable",2005,ICE,MTC,93935
P,"Not Applicable",2006,BEV,MTC,1
P,"Not Applicable",2006,ICE,MTC,100354
P,"Not Applicable",2007,BEV,MTC,4
P,"Not Applicable",2007,ICE,MTC,116579
P,"Not Applicable",2008,BEV,MTC,111
P,"Not Applicable",2008,ICE,MTC,100117
P,"Not Applicable",2009,BEV,MTC,13
P,"Not Applicable",2009,ICE,MTC,82679
P,"Not Applicable",2010,BEV,MTC,88
P,"Not Applicable",2010,ICE,MTC,101769
P,"Not Applicable",2011,BEV,MTC,1142
P,"Not Applicable",2011,ICE,MTC,97255
P,"Not Applicable",2011,PHEV,MTC,190
P,"Not Applicable",2012,BEV,MTC,1485
P,"Not Applicable",2012,ICE,MTC,135681
P,"Not Applicable",2012,PHEV,MTC,2539
P,"Not Applicable",2013,BEV,MTC,4410
P,"Not Applicable",2013,ICE,MTC,165712
P,"Not Applicable",2013,PHEV,MTC,4722
P,"Not Applicable",2014,BEV,MTC,4630
P,"Not Applicable",2014,ICE,MTC,159799
P,"Not Applicable",2014,PHEV,MTC,6670
P,"Not Applicable",2015,BEV,MTC,6634
P,"Not Applicable",2015,ICE,MTC,183456
P,"Not Applicable",2015,PHEV,MTC,4112
P,"Not Applicable",2016,BEV,MTC,9121
P,"Not Applicable",2016,ICE,MTC,177170
P,"Not Applicable",2016,PHEV,MTC,3651
P,"Not Applicable",2017,BEV,MTC,14922
P,"Not Applicable",2017,ICE,MTC,169742
P,"Not Applicable",2017,PHEV,MTC,10725
P,"Not Applicable",2018,BEV,MTC,37489
P,"Not Applicable",2018,ICE,MTC,151790
P,"Not Applicable",2018,PHEV,MTC,13128
P,"Not Applicable",2019,BEV,MTC,28326
P,"Not Applicable",2019,ICE,MTC,139996
P,"Not Applicable",2019,PHEV,MTC,8107
P,"Not Applicable",2020,BEV,MTC,20627
P,"Not Applicable",2020,ICE,MTC,80658
P,"Not Applicable",2020,PHEV,MTC,3483
P,"Not Applicable",2021,BEV,MTC,73
P,"Not Applicable",2021,ICE,MTC,1315
P,"Not Applicable",2021,PHEV,MTC,39
