Vehicle Category,GVWR Class,Fuel Type,Model Year,MPO,Vehicle Population
MC,Not Applicable,Diesel,Unknown,MTC,1
MC,Not Applicable,Diesel,1979,MTC,1
MC,Not Applicable,Diesel,1992,MTC,1
MC,Not Applicable,Diesel,1993,MTC,1
MC,Not Applicable,Diesel,1999,MTC,1
MC,Not Applicable,Diesel,2000,MTC,3
MC,Not Applicable,Diesel,2001,MTC,3
MC,Not Applicable,Diesel,2002,MTC,1
MC,Not Applicable,Diesel,2003,MTC,2
MC,Not Applicable,Diesel,2004,MTC,2
MC,Not Applicable,Diesel,2005,MTC,5
MC,Not Applicable,Diesel,2006,MTC,2
MC,Not Applicable,Diesel,2007,MTC,3
MC,Not Applicable,Diesel,2008,MTC,2
MC,Not Applicable,Diesel,2009,MTC,3
MC,Not Applicable,Diesel,2011,MTC,2
MC,Not Applicable,Diesel,2012,MTC,1
MC,Not Applicable,Diesel,2013,MTC,1
MC,Not Applicable,Diesel,2016,MTC,1
MC,Not Applicable,Diesel,2018,MTC,1
MC,Not Applicable,Electric,Unknown,MTC,6
MC,Not Applicable,Electric,1977,MTC,1
MC,Not Applicable,Electric,1992,MTC,1
MC,Not Applicable,Electric,1993,MTC,10
MC,Not Applicable,Electric,1994,MTC,1
MC,Not Applicable,Electric,1996,MTC,4
MC,Not Applicable,Electric,1999,MTC,1
MC,Not Applicable,Electric,2000,MTC,4
MC,Not Applicable,Electric,2001,MTC,2
MC,Not Applicable,Electric,2002,MTC,1
MC,Not Applicable,Electric,2003,MTC,1
MC,Not Applicable,Electric,2004,MTC,1
MC,Not Applicable,Electric,2006,MTC,1
MC,Not Applicable,Electric,2007,MTC,8
MC,Not Applicable,Electric,2008,MTC,8
MC,Not Applicable,Electric,2009,MTC,3
MC,Not Applicable,Electric,2010,MTC,8
MC,Not Applicable,Electric,2011,MTC,10
MC,Not Applicable,Electric,2012,MTC,5
MC,Not Applicable,Electric,2013,MTC,26
MC,Not Applicable,Electric,2014,MTC,29
MC,Not Applicable,Electric,2015,MTC,34
MC,Not Applicable,Electric,2016,MTC,70
MC,Not Applicable,Electric,2017,MTC,90
MC,Not Applicable,Electric,2018,MTC,98
MC,Not Applicable,Electric,2019,MTC,60
MC,Not Applicable,Electric,2020,MTC,115
MC,Not Applicable,Electric,2021,MTC,8
MC,Not Applicable,Gasoline,Unknown,MTC,812
MC,Not Applicable,Gasoline,1975,MTC,5356
MC,Not Applicable,Gasoline,1976,MTC,358
MC,Not Applicable,Gasoline,1977,MTC,343
MC,Not Applicable,Gasoline,1978,MTC,512
MC,Not Applicable,Gasoline,1979,MTC,561
MC,Not Applicable,Gasoline,1980,MTC,491
MC,Not Applicable,Gasoline,1981,MTC,545
MC,Not Applicable,Gasoline,1982,MTC,607
MC,Not Applicable,Gasoline,1983,MTC,531
MC,Not Applicable,Gasoline,1984,MTC,508
MC,Not Applicable,Gasoline,1985,MTC,689
MC,Not Applicable,Gasoline,1986,MTC,844
MC,Not Applicable,Gasoline,1987,MTC,697
MC,Not Applicable,Gasoline,1988,MTC,599
MC,Not Applicable,Gasoline,1989,MTC,736
MC,Not Applicable,Gasoline,1990,MTC,709
MC,Not Applicable,Gasoline,1991,MTC,763
MC,Not Applicable,Gasoline,1992,MTC,799
MC,Not Applicable,Gasoline,1993,MTC,863
MC,Not Applicable,Gasoline,1994,MTC,882
MC,Not Applicable,Gasoline,1995,MTC,974
MC,Not Applicable,Gasoline,1996,MTC,1276
MC,Not Applicable,Gasoline,1997,MTC,1246
MC,Not Applicable,Gasoline,1998,MTC,1641
MC,Not Applicable,Gasoline,1999,MTC,2319
MC,Not Applicable,Gasoline,2000,MTC,3285
MC,Not Applicable,Gasoline,2001,MTC,4354
MC,Not Applicable,Gasoline,2002,MTC,4882
MC,Not Applicable,Gasoline,2003,MTC,5398
MC,Not Applicable,Gasoline,2004,MTC,4587
MC,Not Applicable,Gasoline,2005,MTC,6032
MC,Not Applicable,Gasoline,2006,MTC,7402
